,0,1,2,3
0,254,254,254,254
1,254,254,254,254
2,254,254,254,254
3,254,254,254,254
4,254,254,254,254
5,254,254,254,254
6,254,254,254,254
7,254,254,254,254
8,254,254,254,254
9,253,253,253,253
10,253,253,253,253
11,253,253,253,253
12,253,253,253,253
13,252,252,252,252
14,252,252,252,252
15,252,252,252,252
16,252,252,252,252
17,252,252,252,252
18,251,251,252,252
19,251,251,252,252
20,251,251,252,252
21,251,251,252,252
22,251,251,252,252
23,251,251,251,251
24,251,251,251,251
25,251,251,251,251
26,251,251,251,251
27,251,251,251,251
28,251,251,251,251
29,251,251,252,252
30,251,251,252,252
31,251,251,252,252
32,252,252,252,252
33,252,252,252,252
34,252,252,252,252
35,253,253,253,253
36,253,253,253,253
37,253,253,253,253
38,254,254,254,254
39,254,254,254,254
40,254,254,254,254
41,254,254,254,254
42,254,254,254,254
43,254,254,254,254
44,254,254,254,254
45,254,254,254,254
46,254,254,254,254
47,254,254,254,254
48,254,254,254,254
49,254,254,254,254
50,254,254,254,254
51,254,254,254,254
52,254,254,254,254
53,254,254,254,254
54,254,254,254,254
55,254,254,254,254
56,254,254,254,254
57,254,254,254,254
58,254,254,254,254
59,254,254,254,254
60,254,254,254,254
61,254,254,254,254
62,254,254,254,254
63,254,254,254,254
64,254,254,254,254
65,254,254,254,254
66,254,254,254,254
67,254,254,254,254
68,254,254,254,254
69,254,254,254,254
70,254,254,254,254
71,254,254,254,254
72,254,254,254,254
73,254,254,254,254
74,254,254,254,254
75,254,254,254,254
76,254,254,254,254
77,254,254,254,254
78,254,254,254,254
79,254,254,254,254
80,254,254,254,254
81,254,254,254,254
82,254,254,254,254
83,254,254,254,254
84,254,254,254,254
85,254,254,254,254
86,254,254,254,254
87,254,254,254,254
88,254,254,254,254
89,254,254,254,254
90,254,254,254,254
91,254,254,254,254
92,254,254,254,254
93,254,254,254,254
94,254,254,254,254
95,254,254,254,254
96,254,254,254,254
97,254,254,254,254
98,254,254,254,254
99,254,254,254,254
100,254,254,254,254
101,254,254,254,254
102,254,254,254,254
103,254,254,254,254
104,254,254,254,254
105,254,254,254,254
106,254,254,254,254
107,254,254,254,254
108,254,254,254,254
109,254,254,254,254
110,254,254,254,254
111,253,253,253,253
112,253,253,253,253
113,253,253,253,253
114,253,253,253,253
115,253,253,253,253
116,252,252,252,252
117,252,252,252,252
118,252,252,252,252
119,251,251,252,252
120,251,251,252,252
121,251,251,252,252
122,251,251,252,252
123,251,251,251,251
124,251,251,252,252
125,251,251,252,252
126,251,251,252,252
127,251,251,252,252
128,251,251,252,252
129,252,252,252,252
130,252,252,252,252
131,252,252,252,252
132,252,252,252,252
133,252,252,252,252
134,252,252,252,252
135,252,252,252,252
136,252,252,252,252
137,252,252,252,252
138,252,252,252,252
139,251,251,252,252
140,251,251,252,252
141,251,251,252,252
142,251,251,252,252
143,251,251,251,251
144,251,251,251,251
145,251,251,251,251
146,251,251,251,251
147,251,251,251,251
148,251,251,251,251
149,251,251,251,251
150,251,251,251,251
151,251,251,251,251
152,251,251,252,252
153,251,251,252,252
154,251,251,252,252
155,251,251,252,252
156,252,252,252,252
157,252,252,252,252
158,252,252,252,252
159,252,252,252,252
160,252,252,252,252
161,252,252,252,252
162,252,252,252,252
163,252,252,252,252
164,252,252,252,252
165,252,252,252,252
166,253,253,253,253
167,253,253,253,253
168,253,253,253,253
169,253,253,253,253
170,253,253,253,253
171,253,253,253,253
172,253,253,253,253
173,253,253,253,253
174,253,253,253,253
175,253,253,253,253
176,253,253,253,253
177,254,254,254,254
178,254,254,254,254
179,254,254,254,254
180,254,254,254,254
181,254,254,254,254
182,254,254,254,254
183,254,254,254,254
184,254,254,254,254
